timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-05-31T18:46:32Z,22.67,486674432,7845310464,3.91,3.94,2.89,8114176,68190208,5397,0.00,-1616.15,0.00,3473408
2026-05-31T18:46:36Z,90.94,1292021760,7039963136,3.92,3.95,2.89,50249728,235565056,6205,0.77,38.34,0.00,3473408
2026-05-31T18:46:41Z,99.43,1895763968,6436220928,4.00,3.96,2.91,80453632,252616704,12721,7.73,44.92,0.00,3473408
2026-05-31T18:46:44Z,100.00,2363097088,5968887808,4.16,4.00,2.92,40140800,311185408,15299,4.33,39.92,0.00,3473408
2026-05-31T18:46:47Z,100.00,2375204864,5956780032,4.16,4.00,2.92,40140800,307216384,1331,1.71,42.68,0.00,3473408
2026-05-31T18:46:51Z,100.00,2487443456,5844541440,4.15,4.00,2.93,35545088,307216384,7412,5.15,46.31,0.00,3473408
2026-05-31T18:46:56Z,100.00,2712494080,5619490816,4.22,4.01,2.94,38334464,306307072,13467,4.51,36.30,0.00,3473408
2026-05-31T18:46:59Z,100.00,2933829632,5398155264,4.22,4.01,2.94,60272640,344305664,15338,5.78,36.87,0.00,3473408
2026-05-31T18:47:02Z,100.00,3090264064,5241720832,4.36,4.05,2.96,60719104,375123968,15310,2.13,46.09,0.00,3473408
2026-05-31T18:47:06Z,100.00,3491360768,4840624128,4.33,4.05,2.96,60719104,459636736,14773,2.56,39.46,0.00,3473408
2026-05-31T18:47:10Z,100.00,3614191616,4717793280,4.39,4.06,2.97,60956672,484204544,14835,2.26,46.17,0.00,3473408
2026-05-31T18:47:13Z,99.86,3759144960,4572839936,4.39,4.06,2.97,60956672,484212736,15172,0.14,37.46,0.00,3473408
2026-05-31T18:47:16Z,100.00,4016574464,4315410432,4.44,4.08,2.98,45293568,534827008,14949,0.30,42.73,0.00,3473408
2026-05-31T18:47:20Z,100.00,4216356864,4115628032,4.48,4.09,3.00,45293568,583761920,14811,0.72,52.90,0.00,3473408
2026-05-31T18:47:22Z,100.00,4164198400,4167786496,4.48,4.09,3.00,45293568,585027584,15513,0.00,29.31,0.00,3473408
2026-05-31T18:47:25Z,99.25,1098788864,7233196032,4.60,4.13,3.01,43712512,475267072,0,1.88,50.09,0.00,0
