timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-06-02T06:15:38Z,41.18,856682496,7475302400,3.52,2.92,2.86,127229952,250843136,2000,2.41,40.64,24.87,163971072
2026-06-02T06:15:43Z,94.94,924168192,7407816704,4.04,3.04,2.90,156692480,255315968,2000,26.97,37.22,17.08,169766912
2026-06-02T06:15:47Z,92.29,1015263232,7316721664,4.12,3.07,2.91,117706752,354816000,2000,26.99,32.59,16.94,159363072
2026-06-02T06:15:51Z,94.62,1052905472,7279079424,4.12,3.07,2.91,141099008,398340096,2000,18.42,45.33,20.33,170008576
2026-06-02T06:15:56Z,94.33,1084788736,7247196160,4.27,3.12,2.92,155234304,398999552,2000,26.80,34.47,16.17,180535296
2026-06-02T06:16:00Z,93.79,1081311232,7250673664,4.09,3.10,2.92,155541504,401485824,2000,27.05,31.38,14.52,180445184
2026-06-02T06:16:04Z,92.23,1088536576,7243448320,4.48,3.20,2.95,156446720,405757952,2000,26.82,37.86,16.63,180809728
2026-06-02T06:16:08Z,90.69,1087967232,7244017664,4.60,3.25,2.97,155930624,412172288,2000,25.06,34.01,15.75,181100544
2026-06-02T06:16:13Z,92.66,1098706944,7233277952,4.87,3.33,3.00,156344320,406867968,2000,26.35,35.98,16.73,183328768
2026-06-02T06:16:16Z,92.34,912191488,7419793408,4.80,3.34,3.00,155885568,404504576,0,26.80,35.81,0,0
