timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,proxy_pss_bytes,proxy_private_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-06-05T07:33:19Z,36.39,943853568,7388454912,2.59,2.87,2.67,8499200,233422848,282259456,309547008,16281,0,14.02,20.49,741027840
2026-06-05T07:33:24Z,99.89,2147622912,6184685568,2.95,2.94,2.69,23031808,483762176,500039680,510173184,20000,1.41,50.22,50.00,1084665856
2026-06-05T07:33:28Z,99.90,2374733824,5957574656,3.19,2.99,2.71,24711168,581480448,581349376,584941568,20000,11.16,37.89,30.85,1116958720
2026-06-05T07:33:32Z,98.91,2319396864,6012911616,3.18,2.99,2.71,24715264,644894720,643680256,643489792,4604,4.14,55.60,20.92,1125482496
2026-06-05T07:33:38Z,99.75,2432888832,5899419648,3.32,3.03,2.72,23011328,645533696,643676160,643477504,20000,1.27,49.49,46.31,1200205824
2026-06-05T07:33:44Z,100.00,2468450304,5863858176,3.46,3.06,2.73,23216128,645533696,643675136,643497984,20000,6.50,36.41,34.02,1207750656
2026-06-05T07:33:48Z,99.82,2473676800,5858631680,3.58,3.09,2.75,26431488,645533696,643679232,643489792,20000,11.04,38.74,36.90,1262895104
2026-06-05T07:33:54Z,99.49,2541494272,5790814208,3.77,3.14,2.76,26443776,656330752,654476288,654295040,20000,13.03,40.51,36.51,1263480832
2026-06-05T07:33:59Z,99.51,2510983168,5821325312,3.87,3.17,2.78,27254784,656531456,654676992,654450688,20000,14.92,35.87,35.28,1307893760
2026-06-05T07:34:02Z,99.91,2554892288,5777416192,4.04,3.22,2.79,37433344,656486400,654245888,654020608,0,16.20,30.68,31.49,0
